judul,label
"Karena dia bukan pilihan rakyat, Ini rezim haram hasil kejahatan antek² China",1
Hati2 Alat Ini Sdh Di Setting Suhu 36-37°C Olh Komunis Cina Utk Mmbunuh Para Ulama2 Kita,1
Jokowi Keluarkan Kartu Corona Indonesia Sehat ,1
Sakit hati gua bule kagak ada yang kenal sama my presiden 😥😥😥,1
Jembatan Suramadu Bebas dari Aktivitas Orang dan Kendaraan ,1
Foto Presiden Joko Widodo WFH ,1
"i tanya soal virus corona korlap FPI: hanya imam besar kami yg punya penangkal virus corona,karna imam besar kami cucu nabi",1
Suntingan Video Planet Nibiru,1
Penjelasan 136 Pasien dalam Pengawasan Virus Corona di Indonesia,0
Siswi SMPN 6 Tasik Dibunuh oleh Ayah Kandungnya sendiri,0
"Pesan Berantai Tangkapan Layar Artikel Jakarta Banjir, Ketua DPRD Temukan Fakta Mengejutkan di Bawah Trotoar",1
Video Perkelahian di Jalan M. H. Thamrin,1
Mi Goreng Indonesia Masuk Daftar Makanan Yang Menyebarkan Virus Corona di Australia,1
Dettol Antiseptik Disebut Dapat Membunuh Virus Corona,1
Wuhan China Orang² berteriak gak karuan,1
Video EXPLORE Pasar Wuhan - Virus Corona Diduga Bermunculan,1
Narasi TKA di Video Demo PT IMIP Morowali,1
Foto Selebaran WASPADA PENCULIKAN ANAK Polresta Sidoarjo,1
membal karena dioplos plastik,1
"Kapolres Timor Tengah Utara , Nusa Tenggara Timur ( NTT) Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",1
Proyek Kereta Cepat kebanggaan Presiden Joko Widodo dari hasil utang ke China triliunan ternyata tidak kokoh dan roboh. Hasilnya menyedihkan..🙄:smirk:,1
Video Banjir Ikan di Waduk Wadas Lintang Kebumen,1
Pesan Berantai Foto Tol Japek,1
Megawati: Jauhi Anak Dari Agama Jika Besarnya Nanti Hanya Untuk Membunuh Orang,1
Promo Iklan Kacamata Ray Ban di Instagram,1
Cegah Radikalisme Menag Akan Ganti Ayat-Ayat Al Quran,1
Presiden Rusia  main piano lagu kebangsaan RI 🇮🇩 bentuk ucapan utk Jokowi..LUAR BIASA,1
Makan Buah Saat Perut Kosong Bisa Sembuhkan Kanker,1
taman moroseneng sememi surabàya,1
Antara Keparat & Aparat (B),1
Gambar Sampul Majalah Tempo Edisi 5-11 Agustus 2019,1
Bayi Diberi Minum Kopi Untuk Cegah Kejang,1
"Barbaque Man Party, Gay Private Party di Serpong",1
Rektor asing pertama untuk memimpin kampus UNJ ,1
Foto mobil yang terlibat kecelakaan beruntun di Tol Purbaleunyi,1
Seorang Anak SD di Lumajang Lolos Dari Percobaan Penculikan,1
Redaksi Liputan 6 SCTV: Redaksi Liputan 6 SCTV tak pernah memberitakan tentang tanah yang dipakai untuk proyek kereta api cepat Jakarta-Bandung milik RRC.,1
Daftar Obat Terlarang BPOM ,1
Hoaks Catut Nama Merdeka.com Soal Tunggu Komando Habib Rizieq Bunuh Diri Massal,0
"Wiranto: Pendukung Prabowo Yang Tidak Mengakui Kemenangan Jokowi, Tangkap, Tembak Mati!!",1
LEGENDA SEPAKBOLA BRAZIL PELE MENINGGAL DUNIA,1
Peringatan Hari Anak Nasional Se Jabar di Polda Jabar,1
Truk TNI Angkut Warga China Ke Bandung,1
Ternyata Biaya untuk Cuci Ginjal Kurang dari 10.000,1
Lowongan 25 Orang Driver Pengantar Jemaah Haji di Arab Saudi,1
Viral Video Kepala Tikus Di Mangkuk Mie ayam Di Solo,1
Video Suara Minta Tolong Pendaki yang Hilang di Gunung Piramid,1
"DISEBUT ADA MAFIA LAKUKAN JUAL BELI DARAH HASIL DONOR, PMI ANGKAT BICARA",1
Menkes Jalani Terapi DSA di RSPAD Gatot Soebroto,1
"MUNCUL UNGGAHAN TERKAIT KONDISI RISMA YANG DIKATAKAN KRITIS, PEMKOT SURABAYA ANGKAT BICARA",1
Bulog Madura Beri Penjelasan Terkait Isu Rastra Berkutu,0
SURAT PEMBERITAHUAN VALIDASI NOMOR INDUK CPNS,1
Penjelasan Pengelola KBS Soal Video Petugas Aniaya Orangutan,0
Klarifikasi Kemendagri Terkait Isu Pemekaran Sejumlah Daerah,0
Selundupan SABU dari CINA,1
Tarif Dasar Listrik Naik Lagi Awal Juli 2019,1
Badan Kepegawaian Daerah DKI Jakarta Klarifikasi Tentang Kepgub Nomor 879,0
Portal m-detiknews,1
PO Safari Dharma Klarifikasi Kabar Busnya Terlibat Kecelakaan di Tol Cipali,0
UI Berikan Klarifikasi Atas Isu Adanya Batas Minimum Nilai UTBK SBMPTN dan SIMAK UI 2019 Untuk Calon Mahasiswa Baru,0
Pemprov Sumut Bantah Kabar Gubernur Sumut Ancam Sumpel Mulut Polisi Dengan Granat,1
Akun Palsu Mengatasnamakan TNI AD,1
KTP sang Pelaku Bom Bunuh Diri di Tugu Kartasura a.n Nur Rohman,1
Masak Saya Dibilang Ikan Buntal',1
"Prabowo Sebut Kadang Harus Mundur Tapi Bukan Menyerah, kita Berjuang Lagi 2024",1
Ini Hasil Audiensi Dompet Dhuafa-Polri soal Pemukulan Staf di 22 Mei,0
"Hoaks, Danramil Sungai Kakap Tertembak dalam Pengamanan Ricuh di Pontianak",0
Margaretha Nainggolan Meninggal Dunia Karena Gas Air Mata,1
Habib rotan sudah sampai dijakarta bersama UAS langsung menuju Kartanegara,1
Polisi Tegaskan Kabar Brimob Sipit dari China Hoaks,0
Mayat Wanita di Underpass Cawang Korban Perkosaan Transportasi Online,1
Kasus ABG Ancam Tembak Jokowi Akhirnya Selesai di Luar Pengadilan,0
Isu Bom Di Pintu Masuk Mall Panakukang,1
Klarifikasi Milly Ratudian Purbasari terkait akun facebook Kinara Kania Putri yang memakai fotonya,0
"Dikritik Fadli Zon, Bagaimana Keamanan Linux Gratisan untuk KPU?",0
Bawaslu Imbau Masyarakat Kepala Dingin Sikapi Quick Count,0
"Salat Tarawih Super Cepat, Kurang Dari 10 Menit",0
Eks Kapolsek Cabut Pernyataan soal Diarahkan Dukung Jokowi,0
Buntut Panjang Penabrakan Kapal Perang RI di Selat Natuna,0
Klarifikasi UI Terkait Sebaran Form Digital Pendaftaran Muslim UI Kepada MABA 2019,0
Bank Indonesia: Utang Luar Negeri Rp 5.295 T Masih Aman,0
"Soal Chinese Money Trap, Kemenkeu Pastikan Indonesia Tak Terdampak",0
"Kehabisan Surat Suara, Bekas Bupati Lampung Selatan Ngamuk di Lapas Rajabasa",0
Risma Walikota Surabaya Marah Besar dengan KPU dan Bawaslu,1
Polri Akan Tindak Tegas Penyebar Hoax Surat C1 Pilpres 2019,0
Rekaman Suara Yang Mencatut Gatot Nurmantyo Terkait Pilpres 2019,1
"Viral Video Kotak Suara Dipindah ke Gudang di Bekasi, Ini Penjelasan KPU dan Polisi",0
Kaesang Pangarep  Komisaris Perusahaan Batu Bara yang lg nyamar jadi penjual Pisang & Kopi,1
Klarifikasi Pemkot Palu Atas Surat Edaran Hunian Tetap dan Dana Stimulan,0
Foto Prabowo dan Titiek Soeharto,0
Alasan KPU Pilih Dupleks Bahan Kotak Suara Pemilu 2019,0
Polisi Kejar Penyebar Video Pembakaran Surat Suara di Papua,0
Akan ada aksi sweeping dari ormas Forum Betawi Rempug ,1
Klarifikasi Atas Isu Pelaku Bom Srilanka Adalah WNI,0
Penyebar Hoaks Polisi Buka Paksa Kotak Suara Dihadang FPI Diciduk,0
Klarifikasi Kementerian BUMN Atas Isu BRI Akuisisi Jiwasraya,0
Imigrasi Kota Semarang Tangkap 40 WNA Pelaku Kejahatan,0
"Komisioner KPU, Ilham Saputra adalah adik kandung Yuga Aden, Tim Komunikasi Badan Pemenangan Nasional ",0
Air Terjun Dari Langit,1
14 hacker cebong lenyap,1
Forum Alumni ITB Lepas Tangan Soal Situs Jurdil 2019,0
"KPU Klarifikasi Terkait Kesalahan Input Data Form C1 Di TPS 093 Bidara Cina, Jakarta Timur",0
REDAKSI LIPUTAN 6 SCTV: Tidak Pernah Revisi Quick Count,0
Foto Quick Count dari Situs Tirto Menangkan Prabowo,1
"#INAelectionObserverSOS , #CYBERMUSLIMRUSSIANFORPRABOWOSOS , dan Isu Server KPU Diserang Hacker Bayaran",0
Ketua PA 212 Slamet Maarif mengajak para pendukung Prabowo-SAndi untuk hadir pada acara sujud syukur kemenangan di Monas.,0
Metro TV Klarifikasi Tayangan Quick Count Unggulkan Prabowo,0
Taruhan Pilpres Berhadiah Lapangan Sepakbola,1
5 Panita Pengawas Desa di Aceh Tamiang Dipecat karena Pose Dua Jari,0
Pesan Gus Dur sebelum wafat terkait Habib Rizieq,1
Berpose Foto Salam Dua Jari Memakai Rompi Bawaslu,0
Bawaslu Bantah Pelaku Surat Suara Tercoblos Di Malaysia Telah Ditangkap,0
"frustasi, gara-gara gak laku, kampanye sepi, akses jalan dihadang oleh mobil oknum dari salah satu paslon",1
Klarifikasi PT Schroder Terkait Isu Memberikan Dana Kampanye Untuk Sandiaga Uno,0
Klarifikasi Polisi Terkait Isu Larangan Kendaraan Plat L dan W Masuk ke Malang,0
Aksi Sweeping Pendukung 02 Terhadap Pendukung 01 Di Soloraya,1
Pemerintah Jokowi Tawarkan Kota Bogor Kepada Cina,1
"Hina Jokowi di Pinggir Jalan Cileungsi, Lelaki Misterius Ini Ditangkap",0
Uang Ganti Rugi JTTS Dititipkan di PN Kalianda,0
Klarifikasi Twitter Tentang Tuduhan Tak Netral di Pemilu 2019,0
Prabowo Ditinggal Pendukungnya Saat Orasi di Padang Sumatera Barat,1
Klarifikasi Gus Mus  Terkait Video Rekayasa Dirinya Menanggapi Pernyataan Maruf Amin,0
Habib Rizieq Syihab : Menlu Retno LP Marsudi mengimbau staf KBRI Riyadh dan KJRI Jeddah di Arab Saudi agar memenangkan capres Jokowi,1
Klarifikasi Atas Isu OTT Bupati Kapuas Oleh KPK,0
"Luhut: Memilih Prabowo, Berarti Anda Menginginkan Ideologi Pancasila Dirubah, Termasuk Penghianat Bangsa",1
PT KAI Memberikan Klarifikasi Terkait KA Argo Parahyangan Berasap,0
Pengadilan Agama Garut Sebut Pesan Berantai Nomor Telepon Janda Garut Adalah Informasi Hoaks,0
"Termakan Hoaks Alat Kelamin Besar, Mertua Laporkan Menantunya ke Polisi",0
Pesan Berantai yang Mencatut Nama Gus Sholah Disertai Tulisan Umat Islam Hukumnya Haram Pilih Jokowi,1
LIPI Tidak Mengeluarkan Hasil Survei Capres-Cawapres,0
Tangkapan Layar Artikel KPK Minta Jangan Coblos Calon yang Bagi Uang dan Sembako,1
"Papan Elektronik Masjid Unsri Diretas: Sholat no 1, Presiden No 2",0
Penjelasan terkait Video Mobil Berplat TNI yang Membawa Logistik Kampanye Prabowo-Sandi,0
Driver Ojek Online Berhasil Bangun Rumah Mewah Dan Rumah Kost Dari Hasil Ngojek 4 Tahun,1
Perampokan Wanita Oleh Supir Taksi Online di Balikpapan,1
Klarifikasi Bukalapak Terkait Kabar Peretasan Situsnya,0
"Klarifikasi Keluarga Zulfirman Syah, Korban Penembakan Brutal di Masjid Christchurch",0
Pesan Berantai Bakso Tikus,1
Mobil B 2 64RIS yang Ditumpangi Prabowo Subianto di Cianjur Milik Mantan pemimpin ISIS Regional Indonesia,0
Penjelasan Iwan Fals terkait Foto Salam 2 Jari dan Poster Dukungan Dirinya Kepada Jokowi,0
BMKG Kupang Bantah Terkait Informasi Prakiraan Badai di NTT Yang Beredar di Media Sosial,0
"Penjelasan terkait Unggahan yang Berisi Berita Berjudul Tanahnya Dipatok Rp3.500 per Meter, Warga Demo Bawa Foto Jokowi Hoax Ganti Untung",0
"Klarifikasi LIPI Terkait Isu Pemusnahan Buku, Tesis, dan Disertasi",0
"Program Percetakan Alquran Dihentikan, Mantan Menag Menangis'",1
Krakatau Steel Beri Klarifikasi Soal Viral Video 1.000 TKA China,0
Turn Back Hoax Dibentuk Bukan Untuk Menangkal Hoax Melainkan Untuk Menaikkan Elektabilitas Jokowi,1
Polri Tepis Tudingan di Medsos soal Pasukan Buzzer Polisi Dukung Jokowi,0
Klarifikasi BPPTKG Terkait Video Erupsinya Gunung Merapi dan Kepanikan Warga,0
Program Beasiswa Unggulan Mengatasnamakan Kemendikbud,1
Artikel dari Fanspage Info TvOne News dan Situs operain.blogspot.com,1
"Penjelasan Lengkap terkait Unggahan yang Bergambar Ridwan Kamil, Yusuf Mansur, dan TGB soal Dugaan Kasus Hukum yang Menimpa Mereka di Media Daring",0
Klarifikasi KPK Terkait Isu Mengusulkan Penghapusan LHKPN,0
Gatot Nurmantyo Bantah Isi Pesan Berantai Yang Mencatut Namanya,0
"Judul Berita TKA China Punya e-KTP, Mendagri : Jangan Protes!! Petahana Punya Hak Atas Segalanya",1
Video Bunuh Diri yang Terjadi di Mayasari Plaza,1
Akun Facebook Polwan Dukung Prabowo Sandi,1
Ridwan Kamil Bantah Artikel Ridwan Kamil: Di jawa Barat Kita Akan Mendata Siapa Saja Yang Tidak Mendukung Jokowi!!,0
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,0
Klarifikasi Terkait Isu Kelangkaan Gas LPG 3 Kg di Bangka Belitung,0
Foto Massa Demo Jokowi Tanpa Pakaian,1
Klarifikasi Kemenag Terkait Kabar Pemecatan Dosen Hayati,0
Caleg PDIP Minta Maaf atas Viral Senam di Atas Sajadah,0
Pelintiran Video SBY Dukung Nomor Satu,1
Klarifikasi Tokopedia Terkait Isu Kebocoran Data,0
Nama Jokowi Masuk Daftar Klien Konsultan Asing Stanley Greenberg,1
Kemenristek Dikti Bantah Surat Terkait Pengembangan Hybrid,0
"Viral Permintaan Maaf, Subkhan Petani Bawang Bantah Bikin Surat.",0
Surat Panggilan Proses Penerimaan Kerja PT Pelni,1
Panen Bawang Berlimpah Ciptakan Krisis di India,0
Pulau Batam Dianggap Sebagai Wilayah Luar Negeri.,1
Pelaku Pembakaran Beberapa Mobil di Daerah Jawa Tengah Sudah Tertangkap,1
Ellen DeGeneres Bagi-Bagi Hadiah Valentine di Facebook ,1
Memasak Popcorn Dengan Ponsel ,1
Hasil Survei Litbang Kompas untuk Pilpres 2019 di Bandung,1
Penjelasan Terkait Adanya Simbol yang Menyerupai Tulisan Allah di Sepatu Nike Air Max,0
Pesan Melalui Email Tentang Pembukaan Tabungan Bank DKI,1
Surat Undangan Bimbingan Teknis atas Nama Kemendikbud,1
