n and
sgpore singapore
seuriiii seuriiii
sesuátu sesuatu
seseoran seseorang
serviis servis
serunyaaa serunya
seruanulamaberantaskorupsi seruan_ulama_berantas_korupsi 
seriuuuuus serius
serigala2 serigala
sereem serem
seorng seorang
seorg seorang
semu2 semu
semogaa semoga
semngat semangat
semnetra sementara
semnetara sementara
semester1 semester_1
sementera sementara
semau2 semau
seláìn selain
seluruhindonesiakenatipu seluruh_indonesia_kena_tipu
selfi selfie
selanjurnya selanjutnya
selandia_baru_insiden_teroris selandia_baru_insiden_teroris
selametin selamatkan
selamatdatangindonesiamenang selamat_datang_indonesia_menang
sel2 sel
sekolahannya sekolahnya
sekolah2 sekolah
sekolae sekolahnya
sekirtar sekitar
sejáuh sejauh
sejeluarga sekeluarga
seeeemua semua
see se
sedìkìt sedikit
sediiiiihhhh sedih
sebenernya sebenarnya
sebenar sebenarnya
sebagaiman sebagaimana
seba5 seba
sdr2 saudara
sdr saudara
sdng sedang
sdit sedikit
sdikit sedikit
sdh sudah
sdgkn sedangkan
sdg sedang
sdangkan sedangkan
sdang sedang
sdah sudah
scr secara
sbsar sebesar
sbrkn sebarkan
sblum sebelum
sblmya sebelumnya
sblm sebelum
sbgmn sebagaimana
sbgai sebagai
sbg sebagai
sbelum2nya sebelum_sebelumnya
sbelah sebelah
sbbkan sebabkan
sbarkan sebarkan
sbab sebab
saudra2 saudara
saudara²sekalian saudara_sekalian
saudara² saudara
saudara2mu saudaramu
saudara2 saudara
saudar2 saudara
satu²nya satu_satunya
satu2nya satu_satunya
sanitazer sanitizer
sangatlh sangatlah
samudra samudera
sampay sampai
sampaikn sampaikan
sampaikannke sampaikan
sama2 sama
sala3 salatiga
sakit2an sakit
sajaa saja
sahhhhh sah
sahabat2 sahabat
sadissss sadis
sadisss sadis
sadiiiiissss sadis
sadar2 sadar
sabu2 sabu
sabobase sabotase
sabilillh sabilillah
s7 setuju
río rio
rèk rek
rusun² rusun
russia rusia
rupa2nya rupanya
rumus2 rumus
rumahnys rumahnya
rp400triliun rp400_triliun
roojiuun rojiun
rojiuun rojiun
rojiunnn rojiun
rohingnya rohingya
rohignya rohingya
rkyat rakyat
rizzieq rizieq
riziek rizieq
retak2 retak
republlik republik
relegius religius
relawan2nya relawannya
rekrutment rekruitmen
rekrutmen rekruitmen
rekan2 rekan
realiti reality
rdiasi radiasi
ratnaspaet ratnasarumpaet
rata2 rata
rasulullah_ rasulullah
rasullullah rasulullah
rapp rap
rame2 rame
rambutne rambutnya
ramadan ramadhan
rakus2 rakus
raktaynya rakyatnya
rajioun rajiun
racun2 racun
rabuu rabu
raajiuun rajiun
pásálnyá pasalnya
pura² pura
pura2 pura
pulang2 pulang
puji2 puji
puc4t pucat
proponsi propinsi
produk2 produk
prettt pret
prett pret
dokter2 dokter
dngn dengan
dngan dengan
dng dengan
dmna dimana
dmn dimana
dlu dahulu
dlm dalam
dlam dalam
djebol dijebol
golongán golongan
dáráh darah
jkw jokowi
gara² gara
akibatx akibat
anak² anak
jokow jokowi
gaeeees gaes
0ngkar bongkar
oráng orang
memìlìkì memiliki
hál hal
berhati² hati
tjoen tjoeng
mndur mundur
covit covid
nenolak menolak
bebaaassss bebas
brngkat berangkat
hahhahhahahhaha haha
krmkan kirimkan
4ku aku
nyelidiki menyelidiki
boooooss bos
plnet planet
bjrmasin banjarmasin
kajantenan kejantanan
depisit devisit
gawattt gawat
maaff maaf
bkso bakso
pindh pindah
tryta ternyata
critkus kritikus
membunub mebunuh
dulirrrrrr dulir
insyaaallah insyaallah
menghandung mengandung
bnjir banjir
dipilihhh dipilih
mopâ mopa
ibadahnx ibadah
orang² orang
perpakaiannya berpakaiannya
járáng jarang
dìbándìngkán dibandingkan
dengán dengan
berbìcárá berbicara
memáng memang
menárìk menarik
beberápá beberapa
dìketáhuì diketahui
kárákterìstìk karakteristik
persyrtan persyaratan
konpirmasi konfirmasi
menghobohkan menghebohkan
hinndari hindari
pantesaann pantesan
dìminta diminta
ahayyyy ahay
bohongg bohong
jam² jam
marganada margadana
jlnn jalan
lapaas lapas
dignti diganti
melindungui melindungi
druuuuun drun
druuuun drun
paastikan pastikan
jkwi jokowi
bhy bahaya
begni begini
dekatt dekat
amiiiinnnn amin
merikso meriksa
perikso periksa
mmbasmi membasmi
jmbatan jembatan
nlayan nelayan
jmbtan jembatan
baru² baru
covd covid
≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠≠ _
￼mulai mulai
alhamdlllh alhamdulillah
cofid covid
iiiiih ih
kebeutalan kebetulan
haruslh haruslah
pembnguann pembangunan
negeli negeri
ruaaaarrrr ruar
begimane bagaimana
ancorrrrrr ancur
suroboyooo surabaya
lapaaarr lapar
bnyi bunyi
disampaiken disampaikan
coved covid
pekenalkan perkenalkan
dkatnya dekatnya
★pribumi pribumi
★indonesia indonesia
mnfaatnya manfaatnya
mnghambur menghambur
lokdown lockdown
orangx orang
dimskkan dimasukkan
memberikade membarikade
ambyaarr ambyar
assik asik
asekkkk asik
dideketx didekat
￼￼tuhan tuhan
kafir² kafir
ihklaskan ikhlaskan
dinaspendidikanlampugtengah dinaspendidikanlampugtengahgmailcom
gmailcom _
brjumpa berjumpa
brcanda bercanda
memènangkannya memenangkannya
cerdass cerdas
keterangannga keterangannya
membubarkn membubarkan
jahaaat jahat
ambyaaarrr ambyar
￼￼￼ _
keirnganan keringanan
pmbyran pembayaran
dsuntik disuntik
alasanx alasan
2018″ 2018
lihattt lihat
tertangakp tertangkap
securitinya securitynya
astagfirullahal astagfirullah
kereennnnnnn keren
lawanpolltikjkw lawanpolitikjkw
asatgfirullah astagfirullah
mengheck menghack
indiabloodyterroris indiabloodyterrorist
mengklarifkasi mengklarifikasi
klarifilasi klarifikasi
pantesann pantesan
memajatkan memanjatkan
kelesss keles
dibkar dibakar
psisir pesisir
covic covid
crruuitt cruit
cruuiittt cruit
perjlnn perjalanan
kanusojo kanujoso
mengerikkan mengerikan
covidー19 covid19
berglimpangan bergelimpangan
menjalimi menzalimi
buuuuuuom boom
bocooor bocor
bocoooor bocor
seuriiii seuri
penyelenggarana penyelenggaranya
bhaahahahaha haha
brutalll brutal
ngoahahaha haha
0rmasi ormas
bangzadddd bangsat
hadeeeeehhh haduh
gilaaaaaaaaa gila
zulkieflimansyah zulkifliemansyah
hancuur hancur
hancuuur hancur
vanqciattt bangsat
klaripikasi klarifikasi
diklaripikasi diklarifikasi
okkkkeee oke
pemirsaaa pemirsa
subhanal￼lah subhanallah
kkuasaan kekuasaan
aamiinkan aminkan
ogaaaah ogah
bangeeeets banget
keciiaaann kasihan
banjirjakarta banjirjakarta4niesdimana
4niesdimana _
————————— _
pnghianat penghianat
pagiiiiiii pagi
prabowoはディックを持っていません prabowo_はディックを持っていません
dipersikahkan dipersilahkan
enyataan kenyataan
kebnagkitan kebangkitan
penvelenggara penyelenggara
dipajekin dipajakkan
kamprettt kampret
——— _
asuu asu
pelerr peler
samuaa samua
mnjauhkan menjauhkan
innaalillaahi innalillahi
roojiun rojiun
kartosowirjo kartosoewirjo
bangeut banget
aniess anies
sukurrin sukurin
penankapan pengangkapan
sungguhhhhhh sungguh
anehhhhhh aneh
pngungsi pengungsi
mmbrikan memberikan
pmasukan pemasukan
kjdian kejadian
ngaku² ngaku
pnumpang penumpang
mbubarin membubarkan
indonesias indonesia
pecahhh pecah
aaamiinn amin
astrapilullah astagfirullah
innaalilaahi innalillahi
britanya beritanya
astaghfirullohal astagfirullah
innalilaihi innalillahi
aalaamiin alamin
kndang kandang
jnjikn janjikan
gaeeeeaas gaes
luka² luka
jokowi— jokowi
suara—— suara
beringatan peringatan
berbaahaya berbahaya
toĺong tolong
berbaliikk berbalik
berbaaliikk berbalik
araah arah
mnyeberang menyebrang
ngbrontak memberontak
brteriak berteriak
dipkul dipukul
pnculikan penculikan
mncritakan menceritakan
jokkw jokowi
bejaat bejat
penyembarangan penyebrangan
mudikk mudik
antek² antek
allahh allah
dsiapin disiapkan
kcamatan kecamatan
jtah jatah
tipuannnya tipuannya
kecmtan kecamatan
mudahhkan mudahkan
