ID,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10
23913,1,1,0,1,1,1,1,1,1,1
23982,1,1,1,1,0,1,1,1,1,1
24051,1,0,1,1,1,1,1,1,1,1
24179,1,0,1,1,1,1,1,1,1,1
24793,1,1,1,1,1,1,1,1,1,0
25164,1,0,1,1,1,1,1,1,1,1
25240,1,1,1,1,1,1,1,0,1,1
25358,0,1,1,1,1,1,1,1,1,1
25865,0,1,1,1,1,1,1,1,1,1
25943,0,1,1,1,1,1,1,1,1,1
26079,1,1,1,1,1,1,1,1,1,0
26194,0,1,1,1,1,1,1,1,1,1
26269,1,1,0,1,1,1,1,1,1,1
26790,1,1,1,1,1,1,0,1,1,1
26832,0,1,1,1,1,1,1,1,1,1
26906,1,1,1,1,0,1,1,1,1,1
27177,1,0,1,1,1,1,1,1,1,1
27287,1,1,1,0,1,1,1,1,1,1
27538,1,1,1,1,1,1,1,1,1,0
27606,1,1,1,1,0,1,1,1,1,1
27617,1,1,1,1,1,1,1,1,0,1
27940,1,1,1,0,1,1,1,1,1,1
27969,1,1,1,0,1,1,1,1,1,1
28265,1,1,1,1,1,1,1,1,0,1
28353,1,1,1,1,1,1,1,1,0,1
29408,1,0,1,1,1,1,1,1,1,1
29684,0,1,1,1,1,1,1,1,1,1
29960,1,1,1,1,1,1,1,0,1,1
29986,1,1,1,0,1,1,1,1,1,1
29994,0,1,1,1,1,1,1,1,1,1
30503,1,1,1,1,0,1,1,1,1,1
30622,1,1,1,1,1,1,1,0,1,1
30669,1,1,1,1,0,1,1,1,1,1
30763,1,1,1,1,1,1,1,1,0,1
30842,1,1,1,1,0,1,1,1,1,1
31136,1,0,1,1,1,1,1,1,1,1
31199,1,1,1,1,1,0,1,1,1,1
32397,1,1,0,1,1,1,1,1,1,1
32586,1,0,1,1,1,1,1,1,1,1
32644,1,1,1,1,1,1,1,0,1,1
32721,1,1,1,1,1,1,1,1,0,1
33205,1,1,1,1,0,1,1,1,1,1
33428,0,1,1,1,1,1,1,1,1,1
33476,1,1,1,1,0,1,1,1,1,1
33589,1,0,1,1,1,1,1,1,1,1
34190,0,1,1,1,1,1,1,1,1,1
34219,1,1,1,0,1,1,1,1,1,1
34294,1,1,1,0,1,1,1,1,1,1
34315,1,1,0,1,1,1,1,1,1,1
34480,1,1,1,0,1,1,1,1,1,1
34508,1,1,1,0,1,1,1,1,1,1
34642,1,1,1,1,0,1,1,1,1,1
34698,1,1,1,1,1,1,1,1,1,0
35185,0,1,1,1,1,1,1,1,1,1
35355,0,1,1,1,1,1,1,1,1,1
35678,0,1,1,1,1,1,1,1,1,1
35778,1,1,1,1,1,1,1,0,1,1
36229,1,1,1,0,1,1,1,1,1,1
36276,1,1,1,1,0,1,1,1,1,1
36328,1,0,1,1,1,1,1,1,1,1
36472,1,1,1,1,1,1,0,1,1,1
36677,1,1,1,1,1,1,1,0,1,1
36731,1,1,1,1,1,1,1,1,0,1
37577,1,1,1,1,1,1,0,1,1,1
37589,1,0,1,1,1,1,1,1,1,1
37755,1,1,1,1,1,1,1,0,1,1
37757,1,0,1,1,1,1,1,1,1,1
37904,1,1,1,1,0,1,1,1,1,1
37905,1,1,1,1,1,0,1,1,1,1
38203,0,1,1,1,1,1,1,1,1,1
38429,1,1,0,1,1,1,1,1,1,1
38474,1,1,1,1,1,1,1,1,0,1
38576,1,1,1,1,0,1,1,1,1,1
39528,1,0,1,1,1,1,1,1,1,1
39813,0,1,1,1,1,1,1,1,1,1
40379,1,1,1,1,1,1,1,1,1,0
40609,1,1,1,1,1,1,1,1,1,0
40671,0,1,1,1,1,1,1,1,1,1
41138,1,1,1,1,1,1,1,0,1,1
41158,1,1,1,1,0,1,1,1,1,1
41437,0,1,1,1,1,1,1,1,1,1
41551,1,1,1,1,1,1,1,1,1,0
41685,1,1,1,1,0,1,1,1,1,1
41729,1,1,1,1,1,1,0,1,1,1
41846,1,1,1,1,1,1,1,1,1,0
42021,1,1,0,1,1,1,1,1,1,1
42191,1,1,1,1,1,1,0,1,1,1
42706,1,1,1,1,0,1,1,1,1,1
42719,1,1,1,1,1,1,1,0,1,1
42748,1,1,1,1,1,1,1,1,0,1
43573,1,1,1,1,1,1,0,1,1,1
43913,1,1,1,1,1,1,0,1,1,1
43977,1,1,1,1,1,1,1,1,0,1
44167,1,1,1,1,1,1,1,1,0,1
44891,1,1,1,1,1,1,0,1,1,1
45093,1,1,0,1,1,1,1,1,1,1
45795,0,1,1,1,1,1,1,1,1,1
46050,1,0,1,1,1,1,1,1,1,1
46719,1,1,1,0,1,1,1,1,1,1
46869,1,1,1,1,0,1,1,1,1,1
47263,1,1,1,1,1,0,1,1,1,1
47470,1,1,0,1,1,1,1,1,1,1
47485,1,1,1,1,0,1,1,1,1,1
47620,1,1,1,1,1,1,1,1,1,0
47636,1,1,1,1,1,1,0,1,1,1
47875,1,0,1,1,1,1,1,1,1,1
48121,1,1,1,1,0,1,1,1,1,1
48399,1,1,1,1,1,1,1,1,1,0
48435,1,1,1,0,1,1,1,1,1,1
48758,1,1,1,1,1,1,1,1,1,0
48981,1,1,0,1,1,1,1,1,1,1
49087,1,1,1,0,1,1,1,1,1,1
49462,1,1,1,1,1,1,1,0,1,1
49858,1,1,1,1,0,1,1,1,1,1
49902,1,0,1,1,1,1,1,1,1,1
49915,0,1,1,1,1,1,1,1,1,1
50152,1,1,1,1,1,1,1,1,0,1
50576,1,1,1,1,0,1,1,1,1,1
50766,1,1,1,1,1,0,1,1,1,1
50920,1,1,1,1,1,1,0,1,1,1
51471,1,1,1,1,1,0,1,1,1,1
51678,0,1,1,1,1,1,1,1,1,1
51699,1,1,0,1,1,1,1,1,1,1
51856,1,1,1,1,1,1,1,0,1,1
51873,1,1,1,1,1,0,1,1,1,1
51884,1,1,1,1,1,1,1,1,1,0
52423,1,1,1,1,1,0,1,1,1,1
52685,1,0,1,1,1,1,1,1,1,1
52896,1,1,0,1,1,1,1,1,1,1
53060,1,1,0,1,1,1,1,1,1,1
53879,0,1,1,1,1,1,1,1,1,1
54060,1,1,0,1,1,1,1,1,1,1
54451,1,1,1,1,0,1,1,1,1,1
54482,1,1,1,1,1,1,1,1,1,0
54490,0,1,1,1,1,1,1,1,1,1
54602,1,1,1,1,1,0,1,1,1,1
54760,1,0,1,1,1,1,1,1,1,1
55282,1,1,1,1,1,1,1,0,1,1
55491,1,1,1,1,1,1,0,1,1,1
55714,1,1,1,1,0,1,1,1,1,1
56096,1,0,1,1,1,1,1,1,1,1
56707,1,0,1,1,1,1,1,1,1,1
57163,1,1,1,1,1,0,1,1,1,1
57372,1,1,1,0,1,1,1,1,1,1
57800,1,1,0,1,1,1,1,1,1,1
57806,1,1,1,1,1,1,1,1,0,1
57915,1,1,1,1,1,0,1,1,1,1
58025,1,1,1,1,1,0,1,1,1,1
58201,1,1,1,1,1,1,0,1,1,1
58268,1,0,1,1,1,1,1,1,1,1
58329,1,1,1,0,1,1,1,1,1,1
58678,1,1,1,1,1,1,1,1,0,1
58725,1,1,1,0,1,1,1,1,1,1
58794,1,1,1,1,1,1,0,1,1,1
58824,1,1,1,1,1,1,0,1,1,1
59048,1,1,1,1,1,1,1,1,0,1
59142,1,1,1,1,1,0,1,1,1,1
59352,1,0,1,1,1,1,1,1,1,1
59482,1,1,1,1,1,0,1,1,1,1
59501,1,0,1,1,1,1,1,1,1,1
59914,1,1,1,1,0,1,1,1,1,1
60067,1,1,0,1,1,1,1,1,1,1
60125,1,1,1,1,1,1,1,1,1,0
60314,1,1,1,1,1,1,0,1,1,1
60396,1,1,1,0,1,1,1,1,1,1
60599,0,1,1,1,1,1,1,1,1,1
60686,0,1,1,1,1,1,1,1,1,1
60705,1,1,1,1,1,1,1,1,0,1
60958,1,1,0,1,1,1,1,1,1,1
61144,0,1,1,1,1,1,1,1,1,1
61182,1,0,1,1,1,1,1,1,1,1
61343,1,1,0,1,1,1,1,1,1,1
61916,1,1,1,0,1,1,1,1,1,1
62030,1,1,0,1,1,1,1,1,1,1
62187,1,1,1,1,1,1,1,0,1,1
62213,0,1,1,1,1,1,1,1,1,1
62232,1,0,1,1,1,1,1,1,1,1
62323,1,1,1,1,1,1,0,1,1,1
62404,1,0,1,1,1,1,1,1,1,1
62447,1,1,1,0,1,1,1,1,1,1
63197,1,1,1,1,1,0,1,1,1,1
63475,1,1,0,1,1,1,1,1,1,1
64171,1,1,1,1,1,1,0,1,1,1
64185,1,1,1,0,1,1,1,1,1,1
64210,1,1,1,1,1,1,0,1,1,1
64488,1,1,1,1,1,1,1,1,0,1
64867,1,0,1,1,1,1,1,1,1,1
65009,1,1,0,1,1,1,1,1,1,1
65326,1,0,1,1,1,1,1,1,1,1
65554,1,1,1,1,1,1,0,1,1,1
65574,1,1,1,1,1,1,0,1,1,1
65704,1,1,0,1,1,1,1,1,1,1
66877,1,1,1,1,1,1,0,1,1,1
67089,1,1,1,1,1,1,1,0,1,1
68111,1,1,1,1,0,1,1,1,1,1
68171,0,1,1,1,1,1,1,1,1,1
68710,0,1,1,1,1,1,1,1,1,1
69277,1,1,1,1,1,1,1,1,1,0
69341,1,1,1,1,1,1,1,1,0,1
69419,1,1,1,1,1,0,1,1,1,1
69547,1,1,0,1,1,1,1,1,1,1
70303,1,0,1,1,1,1,1,1,1,1
70363,1,1,0,1,1,1,1,1,1,1
70533,1,1,1,0,1,1,1,1,1,1
70978,1,1,1,1,1,1,1,1,1,0
71287,0,1,1,1,1,1,1,1,1,1
71613,1,1,0,1,1,1,1,1,1,1
71834,1,1,1,0,1,1,1,1,1,1
71942,0,1,1,1,1,1,1,1,1,1
71964,0,1,1,1,1,1,1,1,1,1
73385,1,1,1,1,1,0,1,1,1,1
73468,1,1,1,1,0,1,1,1,1,1
73563,1,0,1,1,1,1,1,1,1,1
73616,1,1,1,1,1,1,0,1,1,1
73664,1,0,1,1,1,1,1,1,1,1
73720,1,1,1,1,1,0,1,1,1,1
73741,1,1,1,1,1,1,1,0,1,1
73966,1,1,1,1,1,1,0,1,1,1
74102,1,1,1,1,1,1,1,0,1,1
74324,0,1,1,1,1,1,1,1,1,1
74540,1,0,1,1,1,1,1,1,1,1
74606,1,0,1,1,1,1,1,1,1,1
74654,1,1,1,0,1,1,1,1,1,1
75439,1,1,1,1,1,1,1,0,1,1
75654,0,1,1,1,1,1,1,1,1,1
75829,1,0,1,1,1,1,1,1,1,1
75944,1,1,1,1,1,0,1,1,1,1
75961,1,1,1,0,1,1,1,1,1,1
76045,0,1,1,1,1,1,1,1,1,1
76074,1,1,1,1,1,0,1,1,1,1
76106,1,1,1,1,1,1,1,1,0,1
76424,1,1,0,1,1,1,1,1,1,1
76490,1,1,1,1,1,0,1,1,1,1
76510,1,0,1,1,1,1,1,1,1,1
76726,1,1,1,1,1,1,1,1,0,1
76832,1,1,1,1,1,1,1,1,1,0
76856,1,1,1,0,1,1,1,1,1,1
77009,1,1,1,1,1,0,1,1,1,1
77073,1,1,1,0,1,1,1,1,1,1
77589,1,1,1,1,1,0,1,1,1,1
77631,1,1,1,1,1,0,1,1,1,1
78254,1,1,1,1,1,1,1,1,1,0
78316,1,1,1,1,1,1,1,0,1,1
79057,0,1,1,1,1,1,1,1,1,1
79129,1,1,1,1,1,1,1,1,1,0
79193,1,1,1,0,1,1,1,1,1,1
79357,1,1,1,1,1,1,0,1,1,1
79427,1,1,1,1,0,1,1,1,1,1
79606,1,1,1,1,1,1,0,1,1,1
79611,0,1,1,1,1,1,1,1,1,1
80282,1,1,0,1,1,1,1,1,1,1
80777,1,1,1,1,0,1,1,1,1,1
81115,1,1,0,1,1,1,1,1,1,1
81619,1,1,1,1,0,1,1,1,1,1
81628,1,0,1,1,1,1,1,1,1,1
81766,1,1,1,1,1,1,1,1,1,0
82132,0,1,1,1,1,1,1,1,1,1
82150,1,1,0,1,1,1,1,1,1,1
82160,1,1,1,1,1,1,0,1,1,1
82546,1,1,1,1,1,0,1,1,1,1
82700,0,1,1,1,1,1,1,1,1,1
82939,1,1,1,1,1,1,0,1,1,1
83199,1,1,1,0,1,1,1,1,1,1
83417,1,1,0,1,1,1,1,1,1,1
83894,1,1,1,1,1,0,1,1,1,1
84063,0,1,1,1,1,1,1,1,1,1
84263,1,1,1,1,1,0,1,1,1,1
84949,1,1,1,1,1,1,1,0,1,1
84975,1,1,1,1,1,0,1,1,1,1
85018,1,1,1,0,1,1,1,1,1,1
85421,1,1,0,1,1,1,1,1,1,1
85500,1,1,1,1,1,1,0,1,1,1
86132,1,1,1,1,1,0,1,1,1,1
86828,1,1,1,1,1,1,1,1,1,0
86859,0,1,1,1,1,1,1,1,1,1
87012,1,1,1,1,1,1,0,1,1,1
87340,1,1,1,1,1,1,1,0,1,1
87450,1,1,1,1,1,1,1,0,1,1
87821,1,1,1,1,0,1,1,1,1,1
88202,1,1,1,0,1,1,1,1,1,1
88225,1,1,1,1,1,1,1,1,0,1
88922,1,1,0,1,1,1,1,1,1,1
89516,0,1,1,1,1,1,1,1,1,1
89973,1,1,1,1,1,0,1,1,1,1
90037,1,1,1,1,0,1,1,1,1,1
90180,1,0,1,1,1,1,1,1,1,1
90483,1,1,1,1,1,1,0,1,1,1
90645,1,1,1,1,1,1,1,0,1,1
90690,1,1,0,1,1,1,1,1,1,1
90724,1,1,1,1,0,1,1,1,1,1
91082,1,1,1,0,1,1,1,1,1,1
91266,1,1,1,0,1,1,1,1,1,1
91268,0,1,1,1,1,1,1,1,1,1
91346,1,1,1,1,1,1,1,1,1,0
91396,0,1,1,1,1,1,1,1,1,1
91497,1,1,1,1,1,0,1,1,1,1
92087,0,1,1,1,1,1,1,1,1,1
92211,1,1,1,1,1,1,1,1,0,1
92227,1,1,1,1,1,0,1,1,1,1
92428,1,1,1,1,1,1,1,0,1,1
92607,1,1,1,1,1,1,1,1,0,1
92632,1,0,1,1,1,1,1,1,1,1
93855,1,1,1,0,1,1,1,1,1,1
93985,1,1,1,1,1,0,1,1,1,1
94884,1,1,1,1,1,0,1,1,1,1
94963,1,1,1,1,1,1,0,1,1,1
95132,1,1,1,1,0,1,1,1,1,1
95387,1,1,1,1,1,1,1,0,1,1
95637,1,1,1,1,1,1,0,1,1,1
95779,1,1,1,1,1,1,1,1,1,0
96427,0,1,1,1,1,1,1,1,1,1
96786,1,0,1,1,1,1,1,1,1,1
96871,1,1,1,1,1,1,0,1,1,1
97107,1,0,1,1,1,1,1,1,1,1
97112,1,1,1,1,0,1,1,1,1,1
97515,1,1,1,1,0,1,1,1,1,1
97789,1,1,1,0,1,1,1,1,1,1
98107,1,1,1,0,1,1,1,1,1,1
98156,1,1,1,1,1,1,1,0,1,1
98157,1,1,1,1,1,1,0,1,1,1
98242,1,1,1,1,1,0,1,1,1,1
98598,0,1,1,1,1,1,1,1,1,1
98616,0,1,1,1,1,1,1,1,1,1
98627,1,1,0,1,1,1,1,1,1,1
98758,1,1,1,1,1,1,1,0,1,1
98783,0,1,1,1,1,1,1,1,1,1
98988,1,1,1,1,1,0,1,1,1,1
99161,1,1,1,1,1,1,1,0,1,1
99183,1,1,1,1,1,1,1,0,1,1
99290,0,1,1,1,1,1,1,1,1,1
99301,1,1,1,1,1,1,0,1,1,1
99387,1,1,1,1,1,1,1,1,1,0
99623,1,1,1,1,1,1,0,1,1,1
99926,1,1,1,1,0,1,1,1,1,1
100094,0,1,1,1,1,1,1,1,1,1
100494,1,1,1,1,1,1,1,0,1,1
100627,1,1,1,0,1,1,1,1,1,1
100926,0,1,1,1,1,1,1,1,1,1
100992,1,1,1,1,1,1,0,1,1,1
101206,1,1,1,1,1,1,1,1,0,1
101681,1,1,1,0,1,1,1,1,1,1
101878,1,1,1,0,1,1,1,1,1,1
102627,1,1,1,1,1,1,0,1,1,1
102689,1,1,1,1,1,1,1,0,1,1
103001,1,0,1,1,1,1,1,1,1,1
103054,1,1,1,1,1,1,0,1,1,1
103147,1,1,1,1,0,1,1,1,1,1
103156,1,1,1,1,1,1,1,0,1,1
103248,1,1,1,1,1,1,1,0,1,1
103515,1,1,0,1,1,1,1,1,1,1
103747,1,1,1,1,1,1,1,1,1,0
104148,0,1,1,1,1,1,1,1,1,1
104467,1,1,1,1,1,0,1,1,1,1
104823,1,1,1,0,1,1,1,1,1,1
105037,1,1,1,1,1,1,1,1,0,1
105152,1,1,0,1,1,1,1,1,1,1
105165,1,1,1,1,1,1,1,1,1,0
105206,1,1,1,1,1,1,1,1,0,1
105283,1,0,1,1,1,1,1,1,1,1
105317,1,0,1,1,1,1,1,1,1,1
105498,1,1,0,1,1,1,1,1,1,1
106350,1,1,1,1,1,1,0,1,1,1
106353,1,1,1,1,1,1,1,1,0,1
106505,1,1,0,1,1,1,1,1,1,1
106670,0,1,1,1,1,1,1,1,1,1
107096,1,1,1,1,1,0,1,1,1,1
107331,1,1,1,1,1,1,1,1,1,0
107884,1,0,1,1,1,1,1,1,1,1
107929,1,1,1,1,1,1,1,1,0,1
108036,1,1,1,1,1,1,0,1,1,1
108665,1,1,1,1,1,0,1,1,1,1
108774,1,1,1,1,1,1,1,0,1,1
109210,1,1,1,0,1,1,1,1,1,1
109780,0,1,1,1,1,1,1,1,1,1
109798,1,0,1,1,1,1,1,1,1,1
110521,0,1,1,1,1,1,1,1,1,1
110555,1,1,1,1,1,1,1,0,1,1
110914,0,1,1,1,1,1,1,1,1,1
111051,1,0,1,1,1,1,1,1,1,1
111435,1,1,1,0,1,1,1,1,1,1
111754,1,1,1,1,0,1,1,1,1,1
111928,1,1,1,1,1,0,1,1,1,1
112443,1,1,1,1,1,1,1,1,1,0
112456,0,1,1,1,1,1,1,1,1,1
113065,1,0,1,1,1,1,1,1,1,1
113826,1,1,1,1,1,1,1,1,0,1
114424,1,1,1,1,1,0,1,1,1,1
114502,1,1,0,1,1,1,1,1,1,1
114774,1,1,1,1,1,0,1,1,1,1
114787,1,0,1,1,1,1,1,1,1,1
114887,1,1,1,1,1,1,0,1,1,1
115012,1,0,1,1,1,1,1,1,1,1
115208,1,1,1,1,1,0,1,1,1,1
115337,1,1,1,1,0,1,1,1,1,1
115453,1,1,0,1,1,1,1,1,1,1
115455,1,1,1,1,1,1,0,1,1,1
115507,1,1,1,1,1,0,1,1,1,1
115585,1,1,1,1,1,1,1,1,0,1
116246,1,1,1,1,1,1,0,1,1,1
116786,1,1,1,1,1,1,0,1,1,1
117052,1,1,1,1,1,1,1,0,1,1
117339,1,1,1,1,0,1,1,1,1,1
117367,0,1,1,1,1,1,1,1,1,1
117625,1,1,1,1,1,1,0,1,1,1
117842,1,1,1,1,0,1,1,1,1,1
118334,1,1,1,0,1,1,1,1,1,1
118683,1,1,1,1,1,1,1,1,0,1
118965,1,1,1,1,1,0,1,1,1,1
118983,1,1,1,1,1,1,1,1,1,0
119752,0,1,1,1,1,1,1,1,1,1
119848,1,1,1,1,0,1,1,1,1,1
119964,1,1,1,1,1,1,1,1,1,0
120013,1,1,1,1,1,1,1,1,1,0
120077,1,1,1,1,1,1,1,1,0,1
120207,1,1,1,1,1,1,1,0,1,1
120291,1,1,1,1,1,1,1,1,0,1
120900,1,1,1,1,1,0,1,1,1,1
121058,1,1,1,1,1,1,1,1,1,0
121074,0,1,1,1,1,1,1,1,1,1
121503,1,1,1,1,0,1,1,1,1,1
121556,0,1,1,1,1,1,1,1,1,1
121719,1,1,0,1,1,1,1,1,1,1
122101,1,1,1,1,1,1,1,1,1,0
122436,1,1,1,1,0,1,1,1,1,1
122441,1,0,1,1,1,1,1,1,1,1
122813,1,1,0,1,1,1,1,1,1,1
122854,1,1,1,1,0,1,1,1,1,1
123407,1,1,1,1,0,1,1,1,1,1
123537,1,1,1,1,0,1,1,1,1,1
124294,1,1,1,0,1,1,1,1,1,1
124465,1,1,0,1,1,1,1,1,1,1
124711,1,1,0,1,1,1,1,1,1,1
124851,1,1,1,1,0,1,1,1,1,1
125261,1,1,1,1,1,1,1,1,1,0
125308,1,0,1,1,1,1,1,1,1,1
125624,1,1,1,1,1,0,1,1,1,1
126092,1,1,1,1,1,1,1,1,0,1
126239,1,1,1,1,1,1,1,1,0,1
126764,1,1,1,0,1,1,1,1,1,1
127036,1,1,1,1,1,1,1,1,1,0
127212,1,1,1,1,1,1,1,0,1,1
127549,1,1,1,1,1,1,0,1,1,1
127917,1,1,1,1,1,1,0,1,1,1
127918,1,1,1,1,1,1,1,0,1,1
128400,1,1,1,0,1,1,1,1,1,1
128729,1,1,0,1,1,1,1,1,1,1
128788,1,0,1,1,1,1,1,1,1,1
128892,1,1,1,0,1,1,1,1,1,1
129204,1,1,0,1,1,1,1,1,1,1
129942,1,1,1,1,1,1,1,1,1,0
130036,1,1,1,1,1,1,1,0,1,1
130218,1,1,1,0,1,1,1,1,1,1
130395,1,1,1,1,1,1,0,1,1,1
130788,1,0,1,1,1,1,1,1,1,1
130974,1,1,1,1,1,1,1,1,1,0
131480,1,1,0,1,1,1,1,1,1,1
131528,1,1,1,0,1,1,1,1,1,1
132270,1,0,1,1,1,1,1,1,1,1
132303,1,1,1,1,1,1,0,1,1,1
132409,0,1,1,1,1,1,1,1,1,1
132557,1,1,1,1,1,1,0,1,1,1
132634,1,0,1,1,1,1,1,1,1,1
132873,1,1,1,1,1,1,1,1,1,0
132928,1,1,1,1,1,0,1,1,1,1
133068,1,1,0,1,1,1,1,1,1,1
133689,1,1,1,1,1,1,0,1,1,1
133999,1,1,1,1,0,1,1,1,1,1
134554,1,0,1,1,1,1,1,1,1,1
134708,1,0,1,1,1,1,1,1,1,1
135557,1,1,0,1,1,1,1,1,1,1
135774,0,1,1,1,1,1,1,1,1,1
136034,1,1,1,1,1,1,1,0,1,1
136636,1,1,1,1,1,1,0,1,1,1
136727,0,1,1,1,1,1,1,1,1,1
136768,1,1,0,1,1,1,1,1,1,1
136885,0,1,1,1,1,1,1,1,1,1
136928,1,1,1,1,1,1,1,1,1,0
137082,1,1,1,0,1,1,1,1,1,1
137183,0,1,1,1,1,1,1,1,1,1
137229,1,1,1,1,1,1,0,1,1,1
137239,0,1,1,1,1,1,1,1,1,1
137287,0,1,1,1,1,1,1,1,1,1
137325,0,1,1,1,1,1,1,1,1,1
137454,1,1,1,1,1,1,1,1,1,0
137517,1,1,0,1,1,1,1,1,1,1
137824,1,1,1,1,1,1,1,1,1,0
137936,1,1,1,1,1,1,1,0,1,1
138237,1,1,1,1,1,1,1,0,1,1
138259,1,1,1,1,1,0,1,1,1,1
138504,0,1,1,1,1,1,1,1,1,1
138745,1,1,1,1,0,1,1,1,1,1
139150,0,1,1,1,1,1,1,1,1,1
139237,0,1,1,1,1,1,1,1,1,1
139313,1,0,1,1,1,1,1,1,1,1
139341,0,1,1,1,1,1,1,1,1,1
139441,0,1,1,1,1,1,1,1,1,1
139586,1,1,1,1,1,1,1,1,1,0
139608,1,1,0,1,1,1,1,1,1,1
